;Time;E;S;ES;P
248;22.196008317404807;108;461;2;47
249;22.258368554191513;109;461;1;48
250;22.292515795464563;110;462;0;48
251;22.401290204716293;109;461;1;48
252;22.57091500739931;108;460;2;48
253;22.62474670076883;107;459;3;48
254;22.71752817547592;106;458;4;48
255;22.74254621763874;107;459;3;48
256;22.756344778479793;106;458;4;48
257;22.790179684879963;105;457;5;48
258;22.796863736513036;106;458;4;48
259;22.88839982645677;107;458;3;49
260;23.02901069111222;108;459;2;49
261;23.06158806577385;109;460;1;49
262;23.086725446639285;110;461;0;49
263;23.09585706355846;109;460;1;49
264;23.234263829387523;108;459;2;49
265;23.29014589106707;109;460;1;49
266;23.359413449477415;110;461;0;49
267;23.517072220993498;109;460;1;49
268;23.645227516278585;110;460;0;50
269;23.931070234586986;109;459;1;50
270;24.068779424582633;108;458;2;50
271;24.070088992668207;109;459;1;50
272;24.259115522726255;108;458;2;50
273;24.286499454610276;109;459;1;50
274;24.308486444531287;110;460;0;50
275;24.419981711115437;109;459;1;50
276;24.69624248477391;108;458;2;50
277;24.8940673005277;109;458;1;51
278;25.04272684471793;108;457;2;51
279;25.079178167960638;107;456;3;51
280;25.22078599581826;108;457;2;51
281;25.314624389222228;109;458;1;51
282;25.429450896423948;108;457;2;51
283;25.59921976966601;107;456;3;51
284;25.67379098548111;106;455;4;51
285;25.724107960267837;107;456;3;51
286;25.73701101485055;108;457;2;51
287;25.76624200574834;109;457;1;52
288;26.138773055440183;108;456;2;52
289;26.37768329861986;109;456;1;53
290;26.597540377205032;110;457;0;53
291;26.674908759686737;109;456;1;53
292;26.76844521357703;108;455;2;53
293;26.774078329419762;109;456;1;53
294;26.99222189344004;108;455;2;53
295;27.046822784274887;107;454;3;53
296;27.115085063117956;106;453;4;53
297;27.14337341692226;107;454;3;53
298;27.149092675814167;106;453;4;53
299;27.198792706351057;107;453;3;54
300;27.200072472016117;108;453;2;55
301;27.255817484689846;109;454;1;55
302;27.260241480977566;108;453;2;55
303;27.358123139037332;109;454;1;55
304;27.487468227749584;108;453;2;55
305;27.637704506594794;109;454;1;55
306;27.67486255688038;108;453;2;55
307;27.731213043880846;107;452;3;55
308;27.73628997706463;108;453;2;55
309;27.800230615704855;107;452;3;55
310;27.80826237311847;106;451;4;55
311;27.828517446642802;107;451;3;56
312;27.872720591676927;108;452;2;56
313;27.924875385008324;109;453;1;56
314;28.011359352434045;110;453;0;57
315;28.579347318547267;109;452;1;57
316;28.741005312894817;110;452;0;58
317;28.77369591876883;109;451;1;58
318;28.98992499140182;108;450;2;58
319;29.012854548285063;109;451;1;58
320;29.24748863202455;110;451;0;59
321;29.281853708741625;109;450;1;59
322;29.2835910252017;110;450;0;60
