;Time;E;S;ES;P
354;33.007644955234944;106;474;4;32
355;33.07476496260719;105;473;5;32
356;33.25993911341277;104;472;6;32
357;33.42112619558033;105;473;5;32
358;33.42552738041495;104;472;6;32
359;33.47427005688156;105;473;5;32
360;33.51349165351676;106;473;4;33
361;33.549035248374096;107;474;3;33
362;33.730813560093964;108;475;2;33
363;33.74326087473898;107;474;3;33
364;33.761659045535744;108;475;2;33
365;33.92656670784269;109;476;1;33
366;34.09232834585037;108;475;2;33
367;34.18771588756317;107;474;3;33
368;34.230276588966646;108;475;2;33
369;34.23152716643983;107;474;3;33
370;34.27149819383051;106;473;4;33
371;34.38389879898645;107;474;3;33
372;34.58068150703471;108;474;2;34
373;34.65293768188736;107;473;3;34
374;34.76643895672159;106;472;4;34
375;34.87581120748715;107;472;3;35
376;34.9093998085892;108;473;2;35
377;34.93315341591484;107;472;3;35
378;35.05243147480023;108;473;2;35
379;35.285145594796916;109;474;1;35
380;35.519258180887554;110;475;0;35
381;35.66761900320852;109;474;1;35
382;35.98479725193321;110;475;0;35
383;36.18577103309379;109;474;1;35
384;36.49001593795789;108;473;2;35
385;36.50034781192292;107;472;3;35
386;36.61803710509263;106;471;4;35
387;36.61955028013109;107;472;3;35
388;36.620125170371296;108;473;2;35
389;36.63742381282775;107;472;3;35
390;36.712466402598565;108;473;2;35
391;36.86184660050858;109;474;1;35
392;37.12607475014812;108;473;2;35
393;37.16454188876269;107;472;3;35
394;37.18834733706842;108;473;2;35
395;37.248224692912395;107;472;3;35
396;37.35992682688978;106;471;4;35
397;37.440221389833894;105;470;5;35
398;37.49946993548001;106;471;4;35
399;37.56416164641072;105;470;5;35
400;37.595888201521475;104;469;6;35
401;37.641702501462426;105;470;5;35
402;37.6443817182915;106;471;4;35
403;37.78650986336782;105;470;5;35
404;37.844631865179736;104;469;6;35
405;37.847552386354124;103;468;7;35
406;37.88490682838063;104;469;6;35
407;37.89559404169552;105;470;5;35
408;37.97324725729778;104;469;6;35
409;38.08417547580777;105;470;5;35
410;38.11318060703569;106;470;4;36
411;38.12772197667397;107;471;3;36
412;38.18353581063195;108;471;2;37
413;38.18802632498404;109;472;1;37
414;38.257112065112665;108;471;2;37
415;38.26141070093033;109;472;1;37
416;38.29297300302797;110;473;0;37
417;38.31045477620909;109;472;1;37
418;38.31518251548368;110;473;0;37
419;38.6793875196218;109;472;1;37
420;38.702802419700504;108;471;2;37
